,우대,요건,업무
18,"공통 자격요건ㆍ학력 : 대졸 이상 (4년)백엔드 Python 개발자 신입/경력 채용개발실 2명담당업무ㆍ지원자격ㆍ경력 : 무관 (신입도 지원 가능)(사원, 팀원급)
            ㆍ기타 필수 사항
        - 전기/전자공학, 컴퓨터/시스템공학, 산업공학우대사항ㆍ해당직무 근무경험, 석사학위 수여자, AWS, Docker, Linux, Github, Python, Django, RDBMS","공통 자격요건ㆍ학력 : 대졸 이상 (4년)백엔드 Python 개발자 신입/경력 채용개발실 2명담당업무ㆍ지원자격ㆍ경력 : 무관 (신입도 지원 가능)(사원, 팀원급)
            ㆍ기타 필수 사항
        - 전기/전자공학, 컴퓨터/시스템공학, 산업공학우대사항ㆍ해당직무 근무경험, 석사학위 수여자, AWS, Docker, Linux, Github, Python, Django, RDBMS","공통 자격요건ㆍ학력 : 대졸 이상 (4년)백엔드 Python 개발자 신입/경력 채용개발실 2명담당업무ㆍ지원자격ㆍ경력 : 무관 (신입도 지원 가능)(사원, 팀원급)
            ㆍ기타 필수 사항
        - 전기/전자공학, 컴퓨터/시스템공학, 산업공학우대사항ㆍ해당직무 근무경험, 석사학위 수여자, AWS, Docker, Linux, Github, Python, Django, RDBMS"
19,-,-,-
20,-,-,-
21,"ㆍ접수기간:2024년 2월 6일 (화) 17시  ~ 2024년 4월 6일 (토) 24시ㆍ접수방법:사람인 입사지원ㆍ이력서양식:사람인 온라인 이력서ㆍ제출서류:· (필수) 입사지원서(자기 소개, 학력/경력 소개 내용 등 포함)
· (필수) 대학교, 대학원 성적표 및 졸업증명서
· (선택/우대) 프로젝트 산출물 또는 포트폴리오 (개발 및 분석 프로젝트의 경우 코드 제출 필수)
· (선택/우대) 석사학위 이상자는 졸업논문
· 필수 서류 미제출 시 서류 탈락",-,-
22,-,-,-
23,-,-,-
24,-,-,-
25,"모집부문상세내용공통 자격요건ㆍ학력 : 무관보안,네트워크 영업영업2팀 1명담당업무ㆍ지원자격ㆍ경력 : 경력 (년수무관)(사원, 대리, 과장급)
            ㆍ기타 필수 사항
        우대사항ㆍ2종소형운전면허ㆍ해당직무 근무경험","모집부문상세내용공통 자격요건ㆍ학력 : 무관보안,네트워크 영업영업2팀 1명담당업무ㆍ지원자격ㆍ경력 : 경력 (년수무관)(사원, 대리, 과장급)
            ㆍ기타 필수 사항
        우대사항ㆍ2종소형운전면허ㆍ해당직무 근무경험","모집부문상세내용공통 자격요건ㆍ학력 : 무관보안,네트워크 영업영업2팀 1명담당업무ㆍ지원자격ㆍ경력 : 경력 (년수무관)(사원, 대리, 과장급)
            ㆍ기타 필수 사항
        우대사항ㆍ2종소형운전면허ㆍ해당직무 근무경험"
26,-,-,-
27,-,-,-
28,-,-,-
29,-,-,-
30,-,-,-
31,-,-,-
