,모집직종,직무내용,경력조건,학력,전공,자격면허,우대조건
23,데이터 분석가(빅데이터 분석가) 직업정보,"<모집분야> Bioinformatics (생물정보학) 데이터 처리 및 분석 <담당업무> 암 유전체, 전사체, 단백체, 대사체 등 공공 팬오믹스 데이터 확보 암 팬오믹스 데이터 처리 파이프라인 구축 및 최적화 암 팬오믹스 데이터 모델링을 통한 신규 바이오마커 발굴 및 치료 내성 기전 규명 <공통자격요건> 생물정보학, 유전학, 컴퓨터공학 및 유사 학문 전공자 Python, R, MATLAB 및 기타 프로그래밍 언어를 활용한 유전체 분석 경험자 <개별자격요건> 책임급 – 연봉 6,000 ~ 8,000만원 박사 이상 및 동종업계 경력 6년 이상 선임급 – 연봉 4,000 ~ 6,000만원 석사 이상 및 동종업계 경력 2년 이상 <우대사항> NGS (Next-Generation Sequencing) 데이터 처리 및 분석 유경험자 Mass spectrometry 데이터 처리 및 분석 유경험자 암유전체 포함한 관련 연구 경험자 <근무환경> 근무지역: 서울시 서초구 태봉로 114, AI 양재 허브 807호 근무시간: 오전 9시 ~ 오후 6시 (휴게시간 1시간) <복리후생> 자율복장 자유로운 연차/반차 사용 식대지원 구내식당 이용 가능 사내 카페테리아 이용 가능 직무 관련 자기계발비 지원 근로자 여름휴가비 지원 경조사 지원제도 명절 선물 제공 출산전후휴가, 육아휴직, 임신기/육아기 단축근무제도 운영",신입,석사 ~ 박사,-,-,-
24,"서버구축,데이터베이스",데이터엔지니어링: 데이터의 수집/ 가공/ 적재 및 pipeline 관리,경력 (최소 3년 이상),학력무관,-,-,-
25,-,"▶ 자금세탁방지(AML) 데이터 분석 – 거래모니터링 시스템 검증, 룰 최적화, STR/CTR 데이터 검증, 위험평가 모델링 ▶ 컴플라이언스 업무 프로세스 및 화면 설계, 데이터 및 IT 개발요건 정의 - 금융정보 자동교환(FATCA/CRS) 시스템 - 금융기관 내부통제 시스템 - 금융기관 이상거래탐지(FDS) 시스템",경력 (최소 5년 이상),대졸(4년),-,-,-
26,"데이터엔지니어,데이터사이언티스트,DBA",-,경력 (최소 10년 이상),고졸,-,-,-
27,데이터 분석가(빅데이터 분석가) 직업정보,"Position •	소속: 전략기획팀 •	직위: 협의 •	연봉: 협의 Job Description •	빅데이터를 이용한 데이터 관리 •	비즈니스 프로젝트 관리 •	비즈니스 중, 장기 전략 수립 및 실행 •	브랜드 및 제품 캠페인 관리 지원자격 •	화장품 외 다양한 산업계 경험 보유하신 분 •	마케팅 관련 업무 경험 있으신 분 •	다양한 프로젝트의 PM 경험 있으신 분 •	빅데이터를 이용한 전략 기획 경험자 •	데이터활용 경험자 우대사항 •	다양한 업종 관련 경력 우대 •	외국어(영어/중국어/일본어) 능통자 우대 근무조건 •	근무형태: 정규직 •	근무일시: 주 5일 (월~금) •	근무시간: 오전 9시~6시 (월~금) •	급여: 협의 •	근무지역: 서울 강남구 - 서울 7호선 강남구청역에서 50m 이내 •	복리후생: 4대보험, 건강검진, 생일휴가, 문화회식 (월1회 전시회 관람), 간식 외",관계없음,학력무관,-,-,-
28,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
29,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
30,-,"네트워크/서버/보안, 빅데이터/AI, 웹개발, DBA/데이터베이스",무관,학력무관,-,-,-
31,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
32,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
33,-,"빅데이터/AI, DBA/데이터베이스",무관,대졸(4년),-,-,-
34,-,"빅데이터/AI, DBA/데이터베이스",무관,대졸(4년),-,-,-
